Part_id	Sc_id	answer	Mean gaze_angle_x	Standard Deviation gaze_angle_x	Minimum gaze_angle_x	Maximum gaze_angle_x	Sum gaze_angle_x	Mean gaze_angle_y	Standard Deviation gaze_angle_y	Minimum gaze_angle_y	Maximum gaze_angle_y	Sum gaze_angle_y
13	seg16	0.0	0.0293546798029556	0.082992644036337	-0.342	0.241	17.877000000000002	0.4401215106732351	0.1174695782733603	-0.137	0.776	268.034
13	seg17	1.0	0.0209885433715221	0.0755668910583761	-0.158	0.287	12.824000000000002	0.3769018003273322	0.116216163144964	0.013	0.629	230.287
14	seg1	1.0	-0.0327435897435897	0.0576178415426751	-0.203	0.139	-20.432	0.5088701923076921	0.0837163679655755	0.304	0.779	317.535
14	seg2	0.0	-0.0499807692307692	0.0629657233936465	-0.243	0.151	-31.188	0.4562387820512827	0.1143975119464677	0.148	0.726	284.693
14	seg3	1.0	-0.0542767999999999	0.0520619801943798	-0.174	0.053	-33.923	0.3163536000000004	0.0560880857851291	0.234	0.525	197.721
14	seg4	1.0	0.0189544715447154	0.0682275571391503	-0.342	0.211	11.657	0.5128504065040652	0.1215072297852215	-0.137	0.776	315.403
14	seg5	1.0	0.0637388987566607	0.0787439655486854	-0.342	0.241	35.885	0.417108348134991	0.1115447674807451	-0.137	0.78	234.832
14	seg6	1.0	0.0823388888888888	0.0917805452569024	-0.269	0.343	14.821000000000002	0.4371722222222221	0.1767947909789312	-0.125	0.729	78.69099999999997
14	seg7	0.0	0.0293455657492355	0.0897454086985962	-0.269	0.238	9.596	0.4252110091743117	0.1576878467231395	-0.125	0.693	139.044
14	seg9	1.0	0.0196859344894027	0.0681751655172043	-0.191	0.238	10.217	0.4784816955684007	0.1496187162832588	0.112	0.702	248.332
14	seg10	1.0	0.0027890499194847	0.0568329949632135	-0.152	0.2	1.731999999999999	0.4295120772946862	0.1527635451925859	0.131	0.719	266.727
14	seg11	0.0	-0.005543513957307	0.0639415411491796	-0.152	0.2	-3.3760000000000003	0.3981510673234806	0.1165640700781307	-0.146	0.768	242.474
14	seg12	0.0	-0.005543513957307	0.0639415411491796	-0.152	0.2	-3.3760000000000003	0.3981510673234806	0.1165640700781307	-0.146	0.768	242.474
14	seg13	0.0	-0.0091553133514986	0.0751928337927534	-0.164	0.252	-3.359999999999999	0.4414332425068122	0.1133845679858312	-0.141	0.637	162.00600000000003
14	seg15	1.0	-0.0036119402985074	0.0919496869600769	-0.223	0.285	-0.242	0.3063731343283582	0.1672809626713857	-0.287	0.635	20.527
14	seg16	0.0	0.0137405189620758	0.0675045687441041	-0.175	0.2	6.884	0.424111776447106	0.1113501045776743	-0.146	0.768	212.48
14	seg17	0.0	-0.0513697478991596	0.080365275910715	-0.308	0.22	-24.452	0.4817394957983191	0.1158037830607202	0.045	0.73	229.308
15	seg1	1.0	-0.0537759999999999	0.0437462984034078	-0.175	0.078	-33.61	0.3374224000000004	0.0715355294817896	0.172	0.476	210.889
15	seg2	0.0	-0.0430064	0.0460089030410419	-0.146	0.085	-26.879	0.3975023999999997	0.0937243297881612	0.136	0.723	248.439
15	seg3	1.0	-0.0459590163934425	0.0530162359203636	-0.219	0.088	-28.035	0.489290163934426	0.1087263796921278	0.152	0.779	298.467
15	seg4	0.0	-0.0422820512820513	0.0604518291882263	-0.243	0.151	-26.384	0.459524038461539	0.1070550394583758	0.148	0.726	286.743
